epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.06885,2.61542,4.62787,2.23049,0,0,0,0,1.2797,4.37744,1.59256,0,0,0
2,4.22726,1.92488,5.50532,1.98307,0,0,0,0,1.28109,4.39264,1.59754,1.9934e-05,1.9934e-05,1.9934e-05
3,4.40092,1.90193,5.09276,1.95236,0,0,0,0,1.28137,4.38445,1.60497,3.9736e-05,3.9736e-05,3.9736e-05
4,4.566,2.57074,4.96977,2.04718,0,0,0,0,1.28718,4.40591,1.60388,5.9406e-05,5.9406e-05,5.9406e-05
5,4.7082,2.31139,5.22483,2.21197,0,0,0,0,1.27818,4.41387,1.60235,7.8944e-05,7.8944e-05,7.8944e-05
6,4.85159,2.10457,5.48867,1.83226,0,0,0,0,1.2902,4.41845,1.60807,9.835e-05,9.835e-05,9.835e-05
7,5.02073,1.99321,6.11196,1.83452,0,0,0,0,1.00519,4.35507,1.31602,0.000117624,0.000117624,0.000117624
8,5.20999,2.19086,5.09737,1.65752,0.00333,1,0.00449,0.00132,0.96351,4.14892,1.15541,0.000136766,0.000136766,0.000136766
9,5.46417,1.38997,4.0811,1.22097,0.00333,1,0.00757,0.00366,0.97439,3.95987,1.01105,0.000155776,0.000155776,0.000155776
10,5.64476,1.33089,3.89461,1.18695,0.00333,1,0.01099,0.00801,0.88045,3.57926,0.84815,0.000174654,0.000174654,0.000174654
11,5.82814,1.18437,3.35331,1.05617,0.00333,1,0.01047,0.00733,1.01723,3.70442,0.872,0.0001934,0.0001934,0.0001934
12,6.00498,1.27726,3.19171,1.065,0.00333,1,0.0099,0.00692,0.99642,3.76346,0.90495,0.000212014,0.000212014,0.000212014
13,6.18059,1.09225,3.0025,1.08956,0.00333,1,0.00909,0.00599,0.92077,3.5304,0.8627,0.000230496,0.000230496,0.000230496
14,6.35809,1.25922,2.44612,1.02715,0.00333,1,0.00888,0.0055,0.80724,3.67088,0.82082,0.000248846,0.000248846,0.000248846
15,6.53586,1.16246,2.09969,1.04209,0.00333,1,0.00888,0.00586,0.86743,3.60838,0.85606,0.000267064,0.000267064,0.000267064
16,6.71301,1.03839,2.38798,1.14101,0.00333,1,0.00926,0.00703,0.76497,3.71284,0.83171,0.00028515,0.00028515,0.00028515
17,6.89045,1.02966,2.04054,0.97566,0.00333,1,0.00934,0.00681,0.75398,3.69808,0.87157,0.000303104,0.000303104,0.000303104
18,7.05863,1.02966,1.55306,0.97918,0.00333,1,0.00934,0.00681,0.75398,3.69808,0.87157,0.000320926,0.000320926,0.000320926
19,7.31439,1.10809,2.08408,0.99235,0.00333,1,0.00995,0.00725,0.63601,3.6142,0.86488,0.000338616,0.000338616,0.000338616
20,7.4831,1.02077,1.88074,1.02892,0.00333,1,0.00995,0.00725,0.63601,3.6142,0.86488,0.000356174,0.000356174,0.000356174
21,7.66155,0.97369,1.46032,1.00698,0.00333,1,0.00905,0.00724,0.6892,3.59058,0.81891,0.0003736,0.0003736,0.0003736
22,7.82982,1.05241,1.922,1.03477,0.00333,1,0.00905,0.00724,0.6892,3.59058,0.81891,0.000390894,0.000390894,0.000390894
23,8.00836,1.02744,1.78282,1.12595,0.00333,1,0.00861,0.00715,0.74663,3.61904,0.83026,0.000408056,0.000408056,0.000408056
24,8.1817,1.04098,1.79921,1.00911,0.00333,1,0.00861,0.00715,0.74663,3.61904,0.83026,0.000425086,0.000425086,0.000425086
25,8.36169,1.01411,2.2231,0.99919,0.00333,1,0.00921,0.00829,0.6375,3.59605,0.82372,0.000441984,0.000441984,0.000441984
26,8.5392,1.1471,2.2979,1.03893,0.00333,1,0.00921,0.00829,0.6375,3.59605,0.82372,0.00045875,0.00045875,0.00045875
27,8.72432,1.28894,1.82906,1.04838,0.00333,1,0.00948,0.00758,0.77349,3.55282,0.84145,0.000475384,0.000475384,0.000475384
28,8.89393,0.88675,1.69512,0.92664,0.00333,1,0.00948,0.00758,0.77349,3.55282,0.84145,0.000491886,0.000491886,0.000491886
29,9.07175,0.93716,1.52727,0.98383,0.00333,1,0.01047,0.00868,0.90872,3.42989,0.87748,0.000508256,0.000508256,0.000508256
30,9.32291,1.01898,1.58739,1.00842,0.00333,1,0.01047,0.00868,0.90872,3.42989,0.87748,0.000524494,0.000524494,0.000524494
31,9.50747,0.85412,1.4859,0.95657,0.00333,1,0.01087,0.00901,0.8076,3.43026,0.86705,0.0005406,0.0005406,0.0005406
32,9.68077,0.84914,1.29082,0.93871,0.00333,1,0.01087,0.00901,0.8076,3.43026,0.86705,0.000556574,0.000556574,0.000556574
33,9.86558,0.90968,1.52013,0.9657,0.00333,1,0.01036,0.00829,0.83549,3.41124,0.86132,0.000572416,0.000572416,0.000572416
34,10.0345,1.01101,1.62877,0.94846,0.00333,1,0.01036,0.00829,0.83549,3.41124,0.86132,0.000588126,0.000588126,0.000588126
35,10.2133,0.91985,1.57842,0.92836,0.00333,1,0.00909,0.00636,0.99955,3.40948,0.86871,0.000603704,0.000603704,0.000603704
36,10.3818,0.81966,1.78106,0.9798,0.00333,1,0.00909,0.00636,0.99955,3.40948,0.86871,0.00061915,0.00061915,0.00061915
37,10.5611,0.79455,1.62634,0.91561,0.00333,1,0.00877,0.00727,0.79016,3.42938,0.80852,0.000634464,0.000634464,0.000634464
38,10.7303,0.87796,1.61759,0.97198,0.00333,1,0.00877,0.00727,0.79016,3.42938,0.80852,0.000649646,0.000649646,0.000649646
39,10.9108,0.73557,1.34448,0.87878,0.00333,1,0.00888,0.00737,0.74313,3.34571,0.79246,0.000664696,0.000664696,0.000664696
40,11.0811,0.88023,1.38764,0.90348,0.00333,1,0.00888,0.00737,0.74313,3.34571,0.79246,0.000679614,0.000679614,0.000679614
